"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gas6",6.53364405638862e-10,-0.809540716846616,1,1,1.6418394149299e-05
"Dennd1b",6.82452938743653e-10,0.750341945445629,1,1,1.71493598976893e-05
"Eef1a1",8.84255064058088e-10,-0.341228117980513,1,1,2.22204455047157e-05
"Met",1.05559015340082e-09,0.542503602035538,1,1,2.65259249648093e-05
"Atxn7l3",1.20668714514966e-09,0.538097035210791,1,1,3.03228412704658e-05
"Irf9",1.5626337207867e-09,0.630018644354209,1,1,3.9267422769649e-05
"Trim14",1.56930627109337e-09,0.626223497062765,1,1,3.94350972863054e-05
"Bvht",1.76569815347616e-09,-0.660138931476309,1,1,4.43702288987024e-05
"Slfn8",1.89983533556804e-09,1.41678126731791,1,1,4.77409621474892e-05
"Ramp2",2.62283486069872e-09,-0.779608830825896,1,1,6.59092172144982e-05
"Gnptab",2.92128237375022e-09,0.652324215977957,1,1,7.34089047699693e-05
"Ifit2",3.13829213313914e-09,2.92922405502272,1,1,7.88621430136536e-05
"Sct",3.52632559772701e-09,2.18310611322592,0.889,0.333,8.86130359452821e-05
"Rnf213",3.79969459579905e-09,1.27710692810072,1,1,9.54825254978343e-05
"Trim30c",4.1122761110544e-09,1.62111049083293,1,1,0.000103337386394686
"Oas3",4.86907924933141e-09,2.01884500525216,1,1,0.000122355092456449
"Cd180",4.9586135833281e-09,0.916576212904411,1,1,0.000124605000735452
"Bnip3l",5.76021451414807e-09,-0.32762795389805,1,1,0.000144748430526027
"Adar",5.84221493141925e-09,0.850520482686922,1,1,0.000146809019011634
"Vps33a",6.57222928719249e-09,0.520079063374442,1,1,0.00016515354975786
"Herc6",7.29634041515898e-09,1.48713687057812,1,1,0.00018334973829253
"A530040E14Rik",7.56855656236274e-09,0.525530025810338,1,0.667,0.000190190257855613
"Ifi211",8.09001919761292e-09,1.98061840007809,1,1,0.000203294092416815
"Ifih1",1.07443022562794e-08,1.70511426644475,1,1,0.000269993571398045
"Siglec1",1.08937198544907e-08,0.868903192142097,1,1,0.000273748286223496
"Lgals3bp",1.1954942139375e-08,1.4882333659632,1,1,0.000300415741020356
"Sptssa",1.20295616450766e-08,-0.445602648196507,1,1,0.000302290854579129
"Ecscr",1.40330047181557e-08,-0.445270072148047,1,1,0.000352635375562536
"Gm47242",1.66416269728731e-08,0.797181243116528,0.889,0.556,0.000418187444201328
"Brd1",1.67014721213818e-08,-0.46920700495813,1,1,0.000419691292938204
"Ctsf",1.78603274709327e-08,-0.511622352111053,1,1,0.000448812169017068
"Eif2ak2",1.82897989604542e-08,1.09296811814582,1,1,0.000459604358077253
"Zfp706",1.8351459638609e-08,-0.357185556566819,1,1,0.000461153829258606
"Slfn4",1.88528039529818e-08,2.56701667684474,0.889,0.889,0.00047375211053448
"Trim30d",2.02046841680854e-08,1.21166115921871,1,1,0.000507723508459819
"Oas2",2.07476625736057e-08,1.03877909569501,1,1,0.000521368012812138
"H2afv",2.32725083447707e-08,-0.360306054088308,1,1,0.000584814862195742
"Pkig",2.36424037145956e-08,-0.325339299160986,1,1,0.000594109962944072
"Usp18",2.56739043021294e-08,2.10575483282568,1,1,0.000645159541208209
"Tinagl1",2.81786759816413e-08,-0.723821427151659,1,1,0.000708101948742665
"AA467197",2.83937047734251e-08,2.30763551689588,1,1,0.0007135054072514
"Trmt112",2.89654087552165e-08,-0.351197989859033,1,1,0.000727871756609835
"Trim21",2.93891605922037e-08,0.655856461068224,1,1,0.000738520216521486
"Rpl32",2.96764853949247e-08,-0.347785700525631,1,1,0.000745740401489063
"Gna12",3.01106031358323e-08,-0.410983405514687,1,1,0.000756649346200329
"As3mt",3.05858178625491e-08,-0.371006626402317,1,1,0.000768591017067995
"Cacnb3",3.20009702113249e-08,0.861044440562568,1,0.778,0.000804152380440384
"Gm5431",3.58277823602417e-08,1.07989309051282,1,1,0.000900316342930514
"Irf7",3.65209868745973e-08,2.60222862803956,1,1,0.000917735879171755
"Rhob",3.83383346209549e-08,-0.619666187794166,1,1,0.000963404010689976
"Rnf31",3.9307691818098e-08,0.542334365887034,1,1,0.000987762987696985
"Oasl2",4.29883475440155e-08,1.53258523050532,1,1,0.00108025418543357
"Samd9l",4.76098002801189e-08,1.11130085712036,1,1,0.00119638667123911
"Ifit3",4.81826371910465e-08,2.70421211333241,1,1,0.00121078148997381
"Ddx58",4.83315731986996e-08,1.2295003980744,1,1,0.00121452410291012
"Ifit1",5.61618427128132e-08,2.2876817893378,1,1,0.00141129094553028
"A530032D15Rik",5.65638472625738e-08,0.964507705697907,1,1,0.00142139291786122
"Scoc",5.82659354202665e-08,-0.332255609291816,1,1,0.00146416469117588
"Ifi206",5.90966405313362e-08,1.80743386994185,1,1,0.00148503947991195
"Ifi209",6.12168949700372e-08,1.90688638758296,1,1,0.00153831935370206
"BC147527",6.42047792159398e-08,1.15606135828304,1,1,0.00161340189691735
"Rgs3",6.62332902820394e-08,-0.308852706930367,1,1,0.00166437635149737
